species	Name	Formula	Mass	N_atoms	Charge	Detected	pwd_xyz	In_Network	Spin	Energy	ZPE
PH+	Phosphorusmonohydridecation	H1P1+	31.981601	2	1	False	./species/PH+_2.xyz	True	2	-341.06241687	0.00555
PH	Phosphinidene	H1P1	31.981601	2	0	False	./species/PH_3Sigma.xyz	True	3	-341.4348198	0.005523
O2+	Diatomicoxygencation	O2+	31.998	2	1	False	./species/O2+_2.xyz	True	2	-149.69741363	0.005026
O2	Molecularoxygen	O2	31.998	2	0	True	./species/O2_3Sigma.xyz	True	3	-150.14022292	0.004006
HS+	Sulfurmonohydridecation	H1S1+	33.07284	2	1	False	./species/HS+_3.xyz	True	3	-397.9141875	0.005969
HS	Mercaptoradical	H1S1	33.07284	2	0	False	./species/HS_2Pi.xyz	True	2	-398.29133267	0.006171
HCl+	Hydrogenchloride,positiveion	H1Cl1+	36.46084000000001	2	1	True	./species/HCl+_2.xyz	True	2	-459.87840028	0.006073
HCl	Hydrogenchloride	H1Cl1	36.46084000000001	2	0	True	./species/HCl_1Sigma.xyz	True	1	-460.34324105	0.006807
SiC+	Siliconmonocarbidecation	C1Si1+	40.0962	2	1	False	./species/SiC+_4.xyz	True	4	-326.54402764	0.001935
SiC	Siliconmonocarbide	C1Si1	40.0962	2	0	True	./species/SiC_3Pi.xyz	True	3	-326.86836471	0.002277
SiN+	Siliconmononitridecation	N1Si1+	42.0922	2	1	False	./species/SiN+_3.xyz	True	3	-343.23017776	0.001564
SiN	Siliconnitride	N1Si1	42.0922	2	0	True	./species/SiN_2Sigma.xyz	True	2	-343.60822403	0.002765
AlO		O1Al1	42.981	2	0	False	./species/AlO_2Sigma.xyz	False	2	-317.09473616	0.002236
CP+	carbonmonophosphidecation	C1P1+	42.984461	2	1	False	./species/CP+_3.xyz	True	3	-378.39123403	0.002662
CP	Carbonmonophosphide	C1P1	42.984461	2	0	True	./species/CP_2Sigma.xyz	True	2	-378.78964807	0.003013
CS+	Carbonmonosulfide,positiveion	C1S1+	44.0757	2	1	False	./species/CS+_2.xyz	True	2	-435.28335601	0.00334
CS	Carbonmonosulfide	C1S1	44.0757	2	0	True	./species/CS_1Sigma.xyz	True	1	-435.69821206	0.003082
SiO+	Siliconmonoxidecation	O1Si1+	44.0845	2	1	False	./species/SiO+_2.xyz	True	2	-363.78044453	0.002558
SiO	Siliconmonoxide	O1Si1+	44.0845	2	0	True	./species/SiO_1Sigma.xyz	True	1	-364.20382516	0.002969
PN+	Phosphorusnitridecation	N1P1+	44.980461	2	1	False	./species/PN+_2.xyz	True	2	-395.11858415	0.003212
PN	Phosphorusmononitride	N1P1	44.980461	2	0	True	./species/PN_1Sigma.xyz	True	1	-395.55257043	0.003349
AlF		F1Al1	45.98	2	0	False	./species/AlF_1Sigma.xyz	False	1	-341.81102977	0.001824
NS+	Nitrogensulfidecation	N1S1+	46.0717	2	1	True	./species/NS+_1.xyz	True	1	-452.01457523	0.003608
NS	Mononitrogenmonosulfide	N1S1	46.0717	2	0	True	./species/NS_2Pi.xyz	True	2	-452.33769671	0.002988
PO+	Phosphorusmonoxidecation	O1P1+	46.972761	2	1	False	./species/PO+_1.xyz	True	1	-415.70525994	0.003479
PO	Phosphorusmonoxide	O1P1	46.972761	2	0	True	./species/PO_2Pi.xyz	True	2	-416.0120876	0.002995
SiF+	Siliconmonofluoridecation	F1Si1+	47.083903	2	1	False	./species/SiF+_1.xyz	True	1	-388.5086111	0.002377
CCl+	Carbonmonochloridecation	C1Cl1+	47.4637	2	1	False	./species/CCl+_1.xyz	True	1	-497.28281017	0.002769
CCl	Chloromethylidyne	C1Cl1	47.4637	2	0	False	./species/CCl_2Pi.xyz	True	2	-497.60461158	0.001983
SO+	Sulfurmonoxide,positiveion	O1S1+	48.06399999999999	2	1	True	./species/SO+_2.xyz	True	2	-472.44303451	0.003312
SO	Sulfurmonoxide	O1S1	48.06399999999999	2	0	True	./species/SO_3Sigma.xyz	True	3	-472.82155532	0.00278
ClO+	chlorinemonoxidecation	O1Cl1+	51.452	2	1	False	./species/ClO+_3.xyz	True	3	-534.35245371	0.002652
ClO	Monochlorinemonoxide	O1Cl1	51.452	2	0	False	./species/OCl_2Pi.xyz	True	2	-534.74800524	0.002046
SiS+	Siliconnmonosulfidecation	Si1S1+	60.1505	2	1	False	./species/SiS+_2.xyz	True	2	-686.42734003	0.001647
SiS	Siliconmonosulfide	Si1S1	60.1505	2	0	True	./species/SiS_1Sigma.xyz	True	1	-686.81023709	0.001767
AlCl		Al1Cl1	62.432	2	0	False	./species/AlCl_1Sigma.xyz	False	1	-701.79448271	0.001074
S2+	Sulfurdimercation	S2+	64.13	2	1	False	./species/S2+_2.xyz	True	2	-795.11852094	0.002023
S2	Molecularsulphur	S2	64.13	2	0	False	./species/S2_3Sigma.xyz	True	3	-795.46266604	0.001731
H3+	Hydrogentrimercation	H3+	3.0235200000000004	3	1	True	./species/H3+_1.xyz	True	1	-1.34172481	0.022102
CH2+	Methylenecation	H2C1+	14.02638	3	1	False	./species/CH2+_2.xyz	True	2	-38.69991128	0.016646
CH2	Methylene	H2C1	14.02638	3	0	True	./species/CH2_3B1.xyz	True	3	-39.08004219	0.017426
NH2+	Aminocation	H2N1+	16.022380000000002	3	1	False	./species/NH2+_3.xyz	True	3	-55.39059275	0.017221
NH2	Aminoradical	H2N1	16.022380000000002	3	0	True	./species/NH2_2B1.xyz	True	2	-55.799823496	0.019177
H2O+	Watercation	H2O1+	18.01468	3	1	True	./species/H2O+_2.xyz	True	2	-75.88022614	0.018765
H2O	Water	H2O1	18.01468	3	0	True	./species/H2O_1A1.xyz	True	1	-76.342304733	0.021592
H2F+	Dihydrogenfluoridecation	H2F1+	21.014083	3	1	False	./species/H2F+_1.xyz	True	1	-100.54331526	0.019243
NaH2+	sodium;molecular hydrogen	H2Na1+	25.00545	3	1	False	./species/NaH2+_1.xyz	True	1	-162.85344639	0.011985
C2H+	Ethynylcation	H1C2+	25.02924	3	1	False	./species/C2H+_3.xyz	True	3	-76.04826957	0.014686
CCH	Ethynylradical	H1C2	25.02924	3	0	False	./species/C2H_2Sigma.xyz	True	2	-76.47178072	0.01525
HCN+	Hydrogencyanidecation	H1C1N1+	27.025240000000004	3	1	False	./species/HCN+_2.xyz	True	2	-92.78348862	0.015077
HNC+		H1C1N1+	27.025240000000004	3	1	False	./species/HNC+_2.xyz	True	2	-92.8179506	0.016417
HCN	Hydrogencyanide	H1C1N1	27.025240000000004	3	0	True	./species/HCN_1Sigma.xyz	True	1	-93.28049591	0.016621
HNC	Hydrogenisocyanide	H1C1N1	27.025240000000004	3	0	True	./species/HNC_1Sigma.xyz	True	1	-93.257123813	0.016043
HCO+	Formylcation	H1C1O1+	29.017540000000004	3	1	True	./species/HCO+_1.xyz	True	1	-113.39680633	0.016696
HOC+		H1C1O1+	29.017540000000004	3	1	True	./species/HOC+_1.xyz	True	1	-113.33425411	0.013599
HCO	Formylradical	H1C1O1	29.017540000000004	3	0	True	./species/HCO_2Ap.xyz	True	2	-113.69220751	0.01328
N2H+	Dinitrogenmonohydridecation	H1N2+	29.02124	3	1	True	./species/N2H+_1.xyz	True	1	-109.576506	0.016665
SiH2+		H2Si1+	30.10118	3	1	False	./species/SiH2+_2.xyz	True	2	-289.83995026	0.012329
SiH2	Silylene	H2Si1	30.10118	3	0	False	./species/SiH2_1A1.xyz	True	1	-290.17281258	0.011948
HNO+	Nitrosyl?hydride?cation	H1N1O1+	31.01354000000001	3	1	False	./species/HNO+_2.xyz	True	2	-129.93620093	0.013757
HNO	Nitrosylhydride	H1N1O1	31.01354000000001	3	0	True	./species/HNO_1Ap.xyz	True	1	-130.30890817	0.014439
PH2+	Phosphinocation	H2P1+	32.989441	3	1	False	./species/PH2+_1.xyz	True	1	-341.70060731	0.013791
PH2	Phosphinoradical	H2P1	32.989441	3	0	False	./species/PH2_2B1.xyz	True	2	-342.05986957	0.013695
HO2+	Hydroperoxycation	H1O2+	33.00584	3	1	False	./species/HO2+_3.xyz	True	3	-150.31026288	0.01328
O2H	Hydroperoxyradical	H1O2	33.00584	3	0	False	./species/HO2_2App.xyz	True	2	-150.72605251	0.01462
H2S+	Hydroensulfidecation	H2S1+	34.08068	3	1	False	./species/H2S+_2.xyz	True	2	-398.55957168	0.014694
H2S	Hydrogensulfide	H2S1	34.08068	3	0	True	./species/H2S_1A1.xyz	True	1	-398.94082174	0.015261
C3+		C3+	36.0321	3	1	False	./species/C3+_2.xyz	True	2	-113.4121355	0.008509
C3	Carbontrimer(linear)	C3	36.0321	3	0	True	./species/C3_1Sigma.xyz	True	1	-113.83866084	0.008492
C3-	Tricarboion	C3-	36.0321	3	-1	False	./species/C3-_2.xyz	True	2	-113.91019889	0.008246
H2Cl+	Dihydrogenmonochloridecation	H2Cl1+	37.46868	3	1	True	./species/H2Cl+_1.xyz	True	1	-460.56404183	0.015156
CNC+		C2N1+	38.0281	3	1	False	./species/CNC+_1.xyz	True	1	-130.17784623	0.008236
C2N+		C2N1+	38.0281	3	1	False	./species/C2N+_1.xyz	True	1	-130.1373702	0.00842
CCN	cyanomethylidyne	C2N1	38.0281	3	0	False	./species/C2N_2Pi.xyz	True	2	-130.53184783	0.008666
NaOH	Sodiumhydroxide	H1O1Na1	39.99661	3	0	False	./species/NaOH_1Sigma.xyz	True	1	-237.62708809	0.011468
C2O+		C2O1+	40.0204	3	1	False	./species/C2O+_2.xyz	True	2	-150.62503359	0.007498
CCO	Dicarbonmonoxide	C2O1	40.0204	3	0	False	./species/C2O_3Sigma.xyz	True	3	-151.02654582	0.009216
CHSi+		H1C1Si1+	41.10404000000001	3	1	False	./species/CHSi+_3.xyz	True	3	-327.22146027	0.011722
HCSi		H1C1Si1	41.10404000000001	3	0	False	./species/HCSi_2Pi.xyz	True	2	-327.5354494	0.014586
NCO+		C1N1O1+	42.0164	3	1	False	./species/NCO+_3.xyz	True	3	-167.33454801	0.009222
OCN	Isocyanatoradical	C1N1O1	42.0164	3	0	False	./species/NCO_2Pi.xyz	True	2	-167.76213755	0.01029
HNSi+		H1N1Si1+	43.10004	3	1	False	./species/HNSi+_2.xyz	True	2	-343.88719554	0.014917
HNSi		H1N1Si1	43.10004	3	0	False	./species/HNSi_1Sigma.xyz	True	1	-344.31424825	0.014063
HCP+		H1C1P1+	43.992301	3	1	False	./species/HCP+_2.xyz	True	2	-379.09540016	0.013455
HCP	Methinophosphide	H1C1P1	43.992301	3	0	True	./species/HCP_1Sigma.xyz	True	1	-379.48824369	0.014205
CO2+	Carbondioxidecation	C1O2+	44.00870000000001	3	1	False	./species/CO2+_2.xyz	True	2	-187.83473259	0.006937
CO2	Carbondioxide	C1O2	44.00870000000001	3	0	True	./species/CO2_1Sigma.xyz	True	1	-188.34005149	0.011966
N2O	Nitrousoxide	N2O1	44.0124	3	0	True	./species/N2O_1Sigma.xyz	True	1	-184.4192577	0.011621
HCS+	Thioformylcation	H1C1S1+	45.08354	3	1	True	./species/HCS+_1.xyz	True	1	-436.00885905	0.014624
HCS	Thioformylradical	H1C1S1	45.08354	3	0	True	./species/HCS_2Ap.xyz	True	2	-436.28467942	0.011864
HSiO+		H1O1Si1+	45.09234	3	1	False	./species/HSiO+_1.xyz	True	1	-364.4137609	0.01053
HPN+		H1N1P1+	45.988301	3	1	False	./species/HPN+_1.xyz	True	1	-395.86345478	0.014849
NO2+	Nitrogendioxidecation	N1O2+	46.0047	3	1	False	./species/NO2+_1.xyz	True	1	-204.46909837	0.012339
NO2	Nitrogendioxide	N1O2	46.0047	3	0	False	./species/NO2_2A1.xyz	True	2	-204.81632876	0.009214
HNS+		H1N1S1+	47.07954	3	1	False	./species/HNS+_2.xyz	True	2	-452.6170959	0.012309
HPO+	HPOcation	H1O1P1+	47.980601	3	1	False	./species/HPO+_2.xyz	True	2	-416.23901566	0.008509
HPO		H1O1P1	47.980601	3	0	False	./species/HPO_1Ap.xyz	True	1	-416.6205148	0.010222
HSO+		H1O1S1+	49.07184	3	1	False	./species/HSO+_1.xyz	True	1	-473.05296062	0.011105
H2CCl+		H2C1Cl1+	49.47938	4	1	False	./species/H2CCl+_1.xyz	True	1	-498.58825755	0.02539
SiC2+		C2Si1+	52.1069	3	1	False	./species/SiC2+_2.xyz	True	2	-364.59536096	0.006968
c-SiC2	Silicondicarbide	C2Si1	52.1069	3	0	True	./species/c-SiC2_1A1.xyz	True	1	-364.95342085	0.006196
SiNC+		C1N1Si1+	54.1029	3	1	False	./species/SiNC+_1.xyz	True	1	-381.38251999	0.006959
SiNC		C1N1Si1	54.1029	3	0	True	./species/SiNC_2Pi.xyz	True	2	-381.66917048	0.00714
CCP+		C2P1+	54.995161	3	1	False	./species/CCP+_1.xyz	True	1	-416.45177714	0.00686
CCP		C2P1	54.995161	3	0	True	./species/C2P_2Pi.xyz	True	2	-416.78509761	0.006886
C2S+		C2S1+	56.0864	3	1	False	./species/C2S+_2.xyz	True	2	-473.25992224	0.006806
CCS		C2S1	56.0864	3	0	False	./species/C2S_3Sigma.xyz	True	3	-473.63210463	0.007447
OCS+		C1O1S1+	60.0747	3	1	False	./species/OCS+_2.xyz	True	2	-510.52210714	0.008747
OCS	Carbonylsulfide	C1O1S1	60.0747	3	0	True	./species/OCS_1Sigma.xyz	True	1	-510.92975808	0.009404
SiO2	Silicondioxide	O2Si1	60.0835	3	0	False	./species/SiO2_1Sigma.xyz	True	1	-439.33947512	0.00717
HSiS+		H1Si1S+	61.15834	3	1	False	./species/HSiS+_1.xyz	True	1	-687.06071191	0.009213
HSiS		H1Si1S1	61.153	3	0	False	./species/HSiS_2Ap.xyz	False	2	-687.36067776	0.007603
SO2+	Sulfurdioxidecation	O2S1+	64.063	3	1	False	./species/SO2+_2.xyz	True	2	-547.5402911	0.006572
SO2	Sulfurdioxide	O2S1	64.063	3	0	True	./species/SO2_1A1.xyz	True	1	-547.98994772	0.007314
HS2+		H2S2+	65.13784	3	1	False	./species/HS2+_1.xyz	True	1	-795.71883144	0.009779
HSS		H2S2	65.13784	3	0	False	./species/HS2_2App.xyz	True	2	-796.05806919	0.009521
CH3+	Methylcation	H3C1+	15.03422	4	1	False	./species/CH3+_1.xyz	True	1	-39.40571114	0.031585
CH3	Methylradical	H3C1	15.03422	4	0	True	./species/CH3_2B2.xyz	True	2	-39.763629758	0.029738
NH3+	Amoniacation	H3N1+	17.03022	4	1	False	./species/NH3+_2.xyz	True	2	-56.10763365	0.032676
NH3	Ammonia	H3N1	17.03022	4	0	True	./species/NH3_1Ap.xyz	True	1	-56.480551614	0.03456
H3O+	Hydroniumcation	H3O1+	19.02252	4	1	True	./species/H3O+_1.xyz	True	1	-76.61548891	0.034481
C2H2+	Acetylenecation	H2C2+	26.03708	4	1	False	./species/C2H2+_2.xyz	True	2	-76.77583378	0.026337
C2H2	Acetylene	H2C2	26.03708	4	0	True	./species/C2H2_1Sigma.xyz	True	1	-77.191689996	0.027486
HCNH+	Methanenitrilium	H2C1N1+	28.03308	4	1	True	./species/HCNH+_1.xyz	True	1	-93.56081703	0.028165
H2NC+		H2C1N1+	28.03308	4	1	False	./species/H2NC+_1.xyz	True	1	-93.47967084	0.025306
H2CN	Amidogen,methylene-	H2C1N1	28.03308	4	0	True	./species/H2CN_2B2.xyz	True	2	-93.829804395	0.025435
H2CO+	Formaldehydecation	H2C1O1+	30.02538	4	1	False	./species/H2CO+_2.xyz	True	2	-113.94236089	0.024017
H2CO	Formaldehyde	H2C1O1	30.02538	4	0	True	./species/H2CO_1A1.xyz	True	1	-114.3425452	0.027052
SiH3+	Silylcation	H3Si1+	31.10902	4	1	False	./species/SiH3+_1.xyz	True	1	-290.49274551	0.022437
SiH3	Silylradical	H3Si1	31.10902	4	0	False	./species/SiH3_2Ap.xyz	True	2	-290.78881659	0.021586
H2NO+		H2N1O1+	32.02138	4	1	False	./species/H2NO+_1.xyz	True	1	-130.5876993	0.028796
PH3+	Phosphinecation	H3P1+	33.997281	4	1	False	./species/PH3+_2.xyz	True	2	-342.33634594	0.023886
HOOH	Hydrogenperoxide	H2O2	34.01368	4	0	False	./species/HOOH_1A1.xyz	True	1	-151.37362491	0.027185
H3S+		H3S1+	35.08852	4	1	False	./species/H3S+_1.xyz	True	1	-399.21865238	0.026087
C3H+	2-Propynylidenecation	H1C3+	37.03994	4	1	True	./species/C3H+_1.xyz	True	1	-114.13297611	0.019872
c-C3H	2-Cyclopropyn-1-yl	H1C3	37.03994	4	0	True	./species/c-C3H_2Ap.xyz	True	2	-114.46626084	0.018703
l-C3H	2-Propynylidene-	H1C3	37.03994	4	0	True	./species/l-C3H_2Pi.xyz	True	2	-114.46325449	0.018795
HC2N+		H1C2N1+	39.03594	4	1	False	./species/HC2N+_2.xyz	True	2	-130.80758738	0.016802
NaH2O+	Sodium;hydrate	H2O1Na1+	41.00445	4	1	False	./species/NaH2O+_1.xyz	True	1	-238.05360646	0.024041
C2HO+	Protonateddicarbonmonoxide	H1C2O1+	41.02824	4	1	False	./species/C2HO+_1.xyz	True	1	-151.26467409999998	0.020054
CH2Si+		H2C1Si1+	42.11188	4	1	False	./species/CH2Si+_2.xyz	True	2	-327.83528034	0.022513
SiCH2		H2C1Si1	42.11188	4	0	False	./species/H2CSi_1A1.xyz	True	1	-328.20591181	0.021978
HNCO+		H1C1N1O1+	43.02424	4	1	False	./species/HNCO+_2.xyz	True	2	-168.02121718	0.019608
HNCO		H1C1N1O1	43.025	4	0	False	./species/HNCO_1Ap.xyz	False	1	-168.44533456	0.021523
HOCN		H1C1N1O1	43.025	4	0	False	./species/HOCN_1Ap.xyz	False	1	-168.40685777	0.022016
HCNO		H1C1N1O1	43.025	4	0	False	./species/HCNO_1Ap.xyz	False	1	-168.33400102	0.019965
HONC		H1C1N1O1	43.025	4	0	False	./species/HONC_1Ap.xyz	False	1	-168.31281628	0.021004
HSiNH+		H2N1Si1+	44.10788	4	1	False	./species/HSiNH+_1.xyz	True	1	-344.55279994	0.020781
PCH2+		H2C1P1+	45.000141	4	1	False	./species/PCH2+_1.xyz	True	1	-379.75475703	0.021881
HOCO+	HydrocarboxylcationORprotonatedcarbondioxide	H1C1O2+	45.01654	4	1	True	./species/HOCO+_1.xyz	True	1	-188.55475475	0.02179
HN2O+	Imino(oxo)ammonium	H1N2O1+	45.02024	4	1	False	./species/HN2O+_1.xyz	True	1	-184.64050568	0.021111
H2CS+	Thioformaldehydecation	H2C1S1+	46.09138	4	1	False	./species/H2CS+_2.xyz	True	2	-436.59873163	0.023866
H2CS	Thioformaldehyde	H2C1S1	46.09138	4	0	True	./species/H2CS_1A1.xyz	True	1	-436.94141216	0.024969
H2SiO+		H2O1Si1+	46.10018	4	1	False	./species/H2SiO+_2.xyz	True	2	-364.99270827	0.017755
H2SiO		H2O1Si1	46.10018	4	0	False	./species/H2SiO_1A1.xyz	True	1	-365.37917321	0.018908
PNH2+		H2N1P1+	46.996141	4	1	False	./species/PNH2+_2.xyz	True	2	-396.45705004	0.025731
C4+	Carbontetramercation	C4+	48.0428	4	1	False	./species/C4+_2.xyz	True	2	-151.39824846	0.012141
C4	(linerarform)	C4	48.0428	4	0	False	./species/C4_3Sigma.xyz	True	3	-151.79271829	0.013456
C4-		C4-	48.0428	4	-1	False	./species/C4-_2.xyz	True	2	-151.93957894	0.014643
H2PO+		H2O1P1+	48.988441	4	1	False	./species/H2PO+_1.xyz	True	1	-416.87799265	0.020527
C3N+		C3N1+	50.0388	4	1	False	./species/C3N+_3.xyz	True	3	-168.13128784	0.011821
C3N	Cyanoethynylradical	C3N1	50.0388	4	0	True	./species/C3N_2Sigma.xyz	True	2	-168.56497066	0.015961
C3N-		C3N1-	50.0388	4	-1	False	./species/C3N-_1.xyz	True	1	-168.72269707	0.015873
C3O+		C3O1+	52.0311	4	1	False	./species/C3O+_2.xyz	True	2	-188.69737056	0.016332
C3O		C3O1	52.0311	4	0	True	./species/C3O_1Sigma.xyz	True	1	-189.09242282	0.015618
C2N2+	Cyanogencation	C2N2+	52.0348	4	1	False	./species/C2N2+_2.xyz	True	2	-184.87457915	0.01504
SiC2H+		H1C2Si1+	53.11474000000001	4	1	False	./species/SiC2H+_1.xyz	True	1	-365.31977089	0.018659
HCCSi		H1C2Si1	53.11474000000001	4	0	False	./species/SiC2H_2Pi.xyz	True	2	-365.58606634	0.018237
SiNCH+		H1C1N1Si1+	55.11074	4	1	False	./species/SiNCH+_2.xyz	True	2	-381.97526301	0.017644
PC2H+		H1C2P1+	56.003001	4	1	False	./species/PC2H+_2.xyz	True	2	-417.13098864	0.018527
HCCP		H1C2P1	56.003001	4	0	False	./species/HC2P_3Sigma.xyz	True	3	-417.46011799	0.01834
HC2S+		H1C2S1+	57.09424	4	1	False	./species/HC2S+_3.xyz	True	3	-473.9720585	0.017915
HCNS		H1C1N1S1	59.086	4	0	False	./species/HCNS_1Ap.xyz	False	1	-490.9788699	0.018966
HSNC		H1C1N1S1	59.086	4	0	False	./species/HSNC_1Ap.xyz	False	1	-490.97550905	0.016425
HSCN		H1C1N1S1	59.086	4	0	False	./species/HSCN_1Ap.xyz	False	1	-491.02323743	0.017106
HOCS+		H1C1O1S1+	61.08254	4	1	False	./species/HOCS+_1.xyz	True	1	-511.16949064	0.019318
HSiO2+		H1O2Si1+	61.09134	4	1	False	./species/HSiO2+_1.xyz	True	1	-439.61002675	0.016311
H2SiS		H2Si1S1	62.161	4	0	False	./species/H2SiS_1A1.xyz	False	1	-687.99577981	0.017331
l-SiC3+		C3Si1+	64.1176	4	1	False	./species/l-SiC3+_2.xyz	True	2	-402.51297091	0.010831
l-SiC3		C3Si	64.1176	4	0	False	./species/SiC3_1Sigma.xyz	True	1	-402.89637641	0.011659
c-SiC3		C3Si1	64.118	4	0	False	./species/c-SiC3_1A1.xyz	False	1	-402.91915289	0.011466
HSO2+		H1O2S1+	65.07084	4	1	False	./species/HSO2+_1.xyz	True	1	-548.17024157	0.017124
H2S2+		H2S2+	66.14568	4	1	False	./species/H2S2+_2.xyz	True	2	-796.34602469	0.01844
HSSH	Dihydrogendisulfide	H2S2	66.14568	4	0	False	./species/HSSH_1A1.xyz	True	1	-796.68150834	0.018621
C3P		C3P1	67.005861	4	0	False	./species/C3P_2Pi.xyz	True	2	-454.79536209	0.012258
C3S+		C3S1+	68.0971	4	1	False	./species/C3S+_2.xyz	True	2	-511.2907522	0.013085
C3S		C3S1	68.0971	4	0	True	./species/C3S_1Sigma.xyz	True	1	-511.68419563	0.013308
CH4+	Methaneion	H4C1+	16.04206	5	1	False	./species/CH4+_2.xyz	True	2	-39.972415094	0.037507
CH4	Methane	H4C1	16.04206	5	0	True	./species/CH4_1A1.xyz	True	1	-40.440908751	0.044985
NH4+	Ammoniumcation	H4N1+	18.03806	5	1	True	./species/NH4+_1.xyz	True	1	-56.81801534	0.049508
C2H3+	Vinylcation	H3C2+	27.04492	5	1	False	./species/C2H3+_1.xyz	True	1	-77.43843776	0.034654
C2H3	Vinylradical	H3C2	27.04492	5	0	False	./species/C2H3_2Ap.xyz	True	2	-77.75736638	0.03694
CH2NH	Methanimine	H3C1N1	29.04092	5	0	False	./species/CH2NH_1Ap.xyz	True	1	-94.480126972	0.040293
H2COH+	CH2OH+(hydroxymethylcation)	H3C1O1+	31.03322	5	1	True	./species/H2COH+_1.xyz	True	1	-114.62596926	0.040974
CH3O	methoxyradical	H3C1O1	31.03322	5	0	True	./species/CH3O_2A.xyz	True	2	-114.88502605	0.036177
CH3O+	methoxyradical cation	H3C1O1	31.03322	5	1	False	./species/CH3O+_1.xyz	True	1	-114.57337174	0.029182
SiH4+	Silanecation	H4Si1+	32.11686	5	1	False	./species/SiH4+_2.xyz	True	2	-291.03669971	0.028861
SiH4	silane	H4Si1	32.11686	5	0	True	./species/SiH4_1A1.xyz	True	1	-291.44001752	0.031783
l-C3H2+	Propadienylidenecation	H2C3+	38.04778	5	1	False	./species/l-C3H2+_2.xyz	True	2	-114.7370322	0.028963
c-C3H2+		H2C3+	38.04778	5	1	False	./species/c-C3H2+_2.xyz	True	2	-114.80736293	0.033256
c-C3H2	Cyclopropenylidene	H2C3	38.04778	5	0	True	./species/c-C3H2_1A1.xyz	True	1	-115.14197561	0.032706
l-C3H2	Propadienylidene	H2C3	38.04778	5	0	True	./species/H2C3_1A1.xyz	True	1	-115.12034915	0.031244
HC3H		H2C3	38.049	5	0	False	./species/HC3H_3B.xyz	False	3	-115.1189574	0.025592
CH2CN+		H2C2N1+	40.04378	5	1	False	./species/CH2CN+_1.xyz	True	1	-131.49675029	0.031773
H2CCN	Cyanomethylradical	H2C2N1	40.04378	5	0	True	./species/CH2CN_2B1.xyz	True	2	-131.87209647	0.031261
H2CCO+	Ketenecation	H2C2O1+	42.03608	5	1	False	./species/H2CCO+_2.xyz	True	2	-152.01858392	0.031481
H2CCO	Ketene	H2C2O1	42.03608	5	0	False	./species/H2CCO_1A1.xyz	True	1	-152.36861976	0.031951
NH2CN	Cyanamide	H2C1N2	42.03978	5	0	False	./species/NH2CN_1Ap.xyz	True	1	-148.56181957	0.034527
SiCH3+		H3C1Si1+	43.11972	5	1	False	./species/SiCH3+_1.xyz	True	1	-328.54752658	0.03362
SiCH3		H3C1Si1	43.11972	5	0	False	./species/SiCH3_2App.xyz	True	2	-328.80612543	0.03428
PCH3+		H3C1P1+	46.007981	5	1	False	./species/PCH3+_2.xyz	True	2	-380.35410515	0.033547
CH2PH	Phosphethene	H3C1P1	46.007981	5	0	False	./species/CH2PH_1Ap.xyz	True	1	-380.70767312	0.033997
HCOOH+	Formicacidcation	H2C1O2+	46.02438	5	1	False	./species/HCOOH+_2.xyz	True	2	-189.10314345	0.032753
HCOOH	Formicacid	H2C1O2	46.02438	5	0	True	./species/HCOOH_1Ap.xyz	True	1	-189.51743378	0.034378
H3CS+		H3C1S1+	47.09922	5	1	False	./species/H3CS+_3.xyz	True	3	-437.19649655	0.035571
H3SiO+		H3O1Si1+	47.10802	5	1	False	./species/H3SiO+_1.xyz	True	1	-365.71055976	0.030398
PNH3+		H3N1P1+	48.003981	5	1	False	./species/PNH3+_1.xyz	True	1	-397.02661532	0.031919
C4H+		H1C4+	49.05064	5	1	False	./species/C4H+_3.xyz	True	3	-152.11340676	0.023609
C4H		H1C4	49.05064	5	0	True	./species/C4H_2Sigma.xyz	True	2	-152.48378042	0.025295
C4H-		H1C4-	49.05064	5	-1	False	./species/C4H-_1.xyz	True	1	-152.61496516	0.02617
HC3N+	Cyanoacetylenecation	H1C3N1+	51.04664	5	1	False	./species/HC3N+_2.xyz	True	2	-168.86209246	0.026129
HC3N	Propiolonitrile	H1C3N1	51.04664	5	0	True	./species/HC3N_1Sigma.xyz	True	1	-169.28795927	0.027655
HCNCC		H1C3N1	51.04664	5	0	False	./species/HCNCC_1Sigma.xyz	True	1	-169.16182221	0.025767
HNCCC		H1C3N1	51.04664	5	0	False	./species/HNCCC_1Ap.xyz	True	1	-169.20523873	0.024686
HCCNC		H1C3N1	51.04664	5	0	False	./species/HCCNC_1Sigma.xyz	True	1	-169.24510112	0.026983
HC3O+		H1C3O1+	53.03894	5	1	False	./species/HC3O+_1.xyz	True	1	-189.43080644	0.02792
SiC2H2+		H2C2Si1+	54.122580000000006	5	1	False	./species/SiC2H2+_2.xyz	True	2	-365.90847664	0.027915
c-HCCHSi	cyc-HC=CHSi	H2C2Si1	54.122580000000006	5	0	False	./species/c-SiC2H2_1A1.xyz	True	1	-366.23909381	0.029981
HCOCN		H1C2N1O1	55.036	5	0	False	./species/HCOCN_1Ap.xyz	False	1	-206.43317904	0.027021
PC2H2+		H2C2P1+	57.010841000000006	5	1	False	./species/PC2H2+_1.xyz	True	1	-417.78350071	0.029453
C5+		C5+	60.0535	5	1	False	./species/C5+_2.xyz	True	2	-189.43778179	0.0207
