species	Name	Formula	Mass	N_atoms	Charge	Detected	pwd_xyz	In_Network	Spin	Energy	ZPE
C4H5	1,3-butadienylradical	H5C4	53.082	9	0	False	./species/C4H5_2A.xyz	True	2	-155.01778911	0.071916
CH3CONH2		H5C2N1O1	59.068	9	0	False	./species/CH3CONH2_1Ap.xyz	False	1	-208.90850492	0.073795
H5C2O2+	PROTONATEDmethylformate	H5C2O2+	61.0586	9	1	False	./species/H5C2O2+_1.xyz	True	1	-229.05317425	0.075464
HCOCH2OH2+		H5C2O2+	61.0586	9	1	False	./species/HCOCH2OH2+_1.xyz	True	1	-229.03676388	0.074422
C5H4+		H4C5+	64.08485999999999	9	1	False	./species/C5H4+_2.xyz	True	2	-192.12156589	0.062302
CH3C4H	1,3-Pentadiyne	H4C5	64.08485999999999	9	0	True	./species/CH3C4H_1Ap.xyz	True	1	-192.45639667	0.06674
H3C4NH+		H4C4N1+	66.08086	9	1	False	./species/H3C4NH+_1.xyz	True	1	-208.85248574	0.066558
SiC3H5		H5C3Si1	69.1568	9	0	False	./species/SiC3H5_2Ap.xyz	True	2	-406.06187669	0.068683
C6H3+		H3C6+	75.08771999999998	9	1	False	./species/C6H3+_1.xyz	True	1	-229.51986108	0.057558
C5H3N+		H3C5N1+	77.08372	9	1	False	./species/C5H3N+_2.xyz	True	2	-246.16136167	0.056245
C7H2+		H2C7+	86.09058	9	1	False	./species/C7H2+_2.xyz	True	2	-266.81739794	0.049781
C7H2		H2C7	86.09058	9	0	False	./species/H2C7_1A1.xyz	True	1	-267.14127158	0.051656
H2C6N+		H2C6N1+	88.08658	9	1	False	./species/H2C6N+_1.xyz	True	1	-283.58539773	0.052647
C8H+		H1C8+	97.09344	9	1	False	./species/C8H+_3.xyz	True	3	-304.19381361	0.044735
C8H		H1C8	97.09344	9	0	True	./species/C8H_2Pi.xyz	True	2	-304.51983087	0.045824
C8H-		H1C8-	97.09344	9	-1	False	./species/C8H-_1.xyz	True	1	-304.6653453	0.046749
HC7N+		H1C7N1+	99.08944	9	1	False	./species/HC7N+_2.xyz	True	2	-320.95393016	0.047017
HC7N		H1C7N1	99.08944	9	0	True	./species/HC7N_1Sigma.xyz	True	1	-321.31587848	0.048327
HC7O+		H1C7O1+	101.08174	9	1	False	./species/HC7O+_1.xyz	True	1	-341.48405983	0.04852
C9+		C9+	108.0963	9	1	False	./species/C9+_2.xyz	True	2	-341.50785494	0.036575
C9		C9	108.0963	9	0	False	./species/C9_1Sigma.xyz	True	1	-341.85832163	0.03968
C9-		C9-	108.0963	9	-1	False	./species/C9-_2.xyz	True	2	-341.9918629	0.037939
C8N+		C8N1+	110.0923	9	1	False	./species/C8N+_1.xyz	True	1	-358.29118618	0.040595
C8N	7-cyano-2,4,6-heptatriynylidyne	C8N1	110.0923	9	0	False	./species/C8N_2A.xyz	True	2	-358.60098286	0.03919
C3H7	n-propylradical	H7C3	43.08698	10	0	False	./species/C3H7_2A.xyz	True	2	-118.24999388	0.088616
CH3OCH4+	Dimethylether,protonated	H7C2O1+	47.07528	10	1	False	./species/CH3OCH4+_1.xyz	True	1	-155.10369479	0.09377
C2H5OH2+	Ethanolprotonated	H7C2O1+	47.07528	10	1	False	./species/C2H5OH2+_1.xyz	True	1	-155.11618145	0.093031
CH2CHCHCH2	1,3-Butadiene	H6C4	54.08984	10	0	False	./species/C4H6_1A1.xyz	True	1	-155.70544719	0.085799
CH3CH2C2H		H6C4	54.092	10	0	False	./species/CH3CH2C2H_1Ap.xyz	False	1	-155.68453724	0.085411
CH3CHCCH2		H6C4	54.092	10	0	False	./species/CH3CHCCH2_1Ap.xyz	False	1	-155.68574753	0.084582
C2H6CO+	Acetone,positiveion	H6C3O1+	58.07814000000001	10	1	False	./species/C2H6CO+_2.xyz	True	2	-192.49539121	0.081888
